,address_line,approved_contractor,domestic_installer,email,name,pat,post_code,post_town,start_of_post_code,telephone,url
19,39 Heathcote Avenue,1,1,oliver.trim@hotmail.com,Oliver Trim Electrical,1,AL10 0RQ,Hatfield,AL10,07981958980,
20,78 Chelwood Avenue,1,1,robin@datamainservices.com,Data Main Services,1,AL10 0RE,Hatfield,AL10,01707 274590,
21,39 Aldykes,1,1,info@lgwelectrical.co.uk,L G W Electrical Ltd,1,AL10 8ED,Hatfield,AL10,07585338801,
22,21 The Pastures,1,1,marius.paduraru@gmail.com,Axis Electrical Contractors,1,AL10 8PB,Hatfield,AL10,07850444257,
23,20 Green Lanes,1,1,terry.tcelectrics@gmail.com,T C Electrical,1,AL10 9JT,Hatfield,AL10,01707262149,
24,10 Holme Close,1,1,info@jobelectricals.co.uk,Job Electricals,1,AL10 9LQ,Hatfield,AL10,07932850351,
25,19 Roe Hill Close,0,1,alanspooner@btinternet.com,A J S Interiors,0,AL10 9JE,Hatfield,AL10,07860910417,
26,"Unit 20, The IO Centre,Hatfield Business Park, Hearle Way",1,1,craig.day@grcl.co.uk,Global Rail Construction Ltd,1,AL10 9EW,Hatfield,AL10,08709904074,www.grcl.co.uk
27,68 Eagle Way,1,1,md.marszalek@googlemail.com,MD-M Electrical Contractors,1,AL10 8RE,Hatfield,AL10,07875529949,
28,"Belgrave House, Hatfield Business Park",1,0,mark.bailey@bouygues-es.co.uk,Bouygues E & S Infrastructure UK Ltd,1,AL10 9TQ,"Frobisher Way, HATFIELD",AL10,01279 645100,www.dwlighting.co.uk
29,15 Summerfield,1,1,nathrich@hotmail.co.uk,Nathan Rich,1,AL10 8LP,Hatfield,AL10,07847697788,
30,37 Tudor Close,1,1,allenward@talk21.com,A & L Property Services,1,AL10 9EJ,Hatfield,AL10,01707266212,
31,"51 Telford Road,London Colney",1,1,gary@aldridge-electrical.co.uk,Aldridge Electrical,1,AL2 1PQ,St. Albans,AL2,01727 750 198,
32,5 North Cottages,0,1,bradshaw.electricalservices@outlook.com,Bradshaw Electrical Services,0,AL2 1AP,St Albans,AL2,07506538979,
33,"Cotlandswick Leisure Centre,341 High Street, London Colney",1,0,satechnical@1life.co.uk,1 Life Management Solutions Ltd,1,AL2 1EB,St. Albans,AL2,01727822447,
34,"17 Alexander Road,London Colney",1,1,jamescbevan@yahoo.com,Brothers Electrical,1,AL2 1HS,St Albans,AL2,07464752871,
35,"Unit 24, Herts Business Centre,Alexander Road, London Colney",1,1,paul.goom@goomelectrical.co.uk,Goom Electrical Ltd,1,AL2 1JG,St. Albans,AL2,07515825581,
36,"Herts Business Centre,Alexander Road, London Colney",1,1,jandjbespoke@gmail.com,J&J Bespoke Electrical Ltd,1,AL2 1JG,St Albans,AL2,07837336423,
37,"Unit 3 Victor House,Barnet Road",1,1,M.simm@specialistelectrical.com,Specialist Electrical Solutions Ltd,1,AL2 1BJ,St Albans,AL2,01727238999,
38,"10a Willowside,London Colney",0,1,twb.electrical@live.co.uk,T W Blackman Electrical Services,0,AL2 1DP,St. Albans,AL2,07704422153,twblackman.co.uk
39,"9 Old Parkbury Lane,Colney Street",0,0,parys.mortimer@portakabin.com,Portaloo Hire Ltd,0,AL2 2DZ,St Albans,AL2,07973257626,
40,65-67 Park Street,1,1,paulinec@watret.co.uk,Watret & Co Ltd,0,AL2 2PE,St. Albans,AL2,01727 873765,
41,42 Mount Drive,1,1,joemoss@sol-projects.com,Sol Projects Ltd,1,AL2 2NU,ST. Albans,AL2,07976102644,www.sol-projects.com
42,"33 Burston Drive,Park Street",0,1,neilfitz@talktalk.net,Fitzgerald Electrical,0,AL2 2HP,St. Albans,AL2,07956 339450,
43,"157 Park Street Lane,Park Street",1,1,tierneyoliver@yahoo.com,Oliver Laurence Electrical Contractor,1,AL2 2AZ,St. Albans,AL2,07946742444,
44,"Nell Gwynne Cottage,Salisbury Hall",1,1,ccbproperties@icloud.com,CCB Properties Ltd,1,AL2 1BU,London Colney,AL2,07427298805,www.ccbproperties.com
45,9 Tippendall Lane,0,1,jeremy.abington@hindlipdesign.com,Hindlip Design Ltd,0,AL2 3HJ,St Albans,AL2,07780911035,www.hindlipdesign.com
46,"Unit 2D, Horseshoe Business Park,Upper Lye Lane",1,1,info@fulcheredwards.co.uk,Fulcher Edwards Ltd,1,AL2 3TA,"Bricket Wood, St Albans",AL2,020 7922 1101,www.fulcheredwards.co.uk
47,511 Watford Road,1,1,darren@db-elec.co.uk,D B Electrical (London) Ltd.,1,AL2 3DU,St. Albans,AL2,01727867927,
48,1 Rose Cottages,1,1,Mam.electrical@live.co.uk,Bricket Wood Electrical Ltd,1,AL2 3PF,Bricket Wood,AL2,07916 117415,
49,10 Rowlatt Drive,1,1,kyle@kgec.co.uk,K G Electrical Contractors,1,AL3 4NB,St Albans,AL3,01727741993,
50,23 Dubrae Close,1,1,andy@a2electrical.co.uk,A2 Electrical Ltd,1,AL3 4JT,ST. ALBANS,AL3,01582 623392,www.designandwire.co.uk
51,77 Batchwood Drive,1,1,info@ege.co.uk,Express Gas and Electrical Ltd,1,AL3 5UF,St. Albans,AL3,01727 537688,www.ege.co.uk
52,191 Beech Road,0,1,andrewmoccia@gmail.com,Andrew Moccia,0,AL3 5AJ,ST. ALBANS,AL3,07931666919,
53,53 Watson Avenue,1,1,israelmanney@hotmail.co.uk,Borough Electrical Limited,1,AL3 5HP,St Albans,AL3,07961029452,
54,"The Garden Office,4 Carnegie Road",1,1,info@gems-electrical.com,Green Electrical and Maintenance Service Ltd,1,AL3 6HL,St Albans,AL3,0208 3416315/08007 569825,www.gems-electrical.com
55,3 Housefield Way,1,1,perry@proformelectrical.co.uk,Proform M&E Services LTD,1,AL4 0GP,St. Albans,AL4,01727812519,
56,58 Marconi Way,1,1,nick.heather@albanelectrical.co.uk,Alban Electrical Services,1,AL4 0JG,St. Albans,AL4,01727856678,www.albanelectrical.co.uk
57,8 Hill End Lane,1,1,neiltagg@aol.com,Neil Tagg,1,AL4 0TY,St. Albans,AL4,01727 760192,
58,399 Hatfield Road,1,1,enquiries@bjbuilders.co.uk,B J Building Services Ltd,1,AL4 0XP,St. Albans,AL4,01727867875,
59,23 Colney Heath Lane,1,1,colinrobinson13@btinternet.com,Robinsons Electrical Services Ltd,1,AL4 0SY,St. Albans,AL4,07780651562,
60,36 Hazelwood Drive,0,1,hooperelectrician@gmail.com,St Albans Sparks,0,AL4 0UW,St Albans,AL4,07815119790,
61,39 Cranbrook Drive,0,1,andyellis1@gmail.com,Andrew Ellis,0,AL4 0SR,St Albans,AL4,07866 504446,
62,Lyon Way,1,1,john.wetherall@giffengroup.co.uk,Giffen Group Ltd,1,AL4 0LQ,St. Albans,AL4,01727 869126,www.giffengroup.co.uk
63,"26 Wistlea Crescent,Colney Heath",1,1,coops.11@hotmail.co.uk,K C Electrical,1,AL4 0NL,St. Albans,AL4,07951051070,
64,35 Elizabeth Court,0,1,info@aaee.co.uk,Alive and Earthed Electrical,0,AL4 9JD,St Albans,AL4,07515409410,www.aaee.co.uk
65,11 The Leys,1,1,christosfestas@gmail.com,Volt and Watt,1,AL4 9HD,St. Albans,AL4,07491009375,
66,50 Kingshill Avenue,1,1,messer686@aol.com,S D M Electrical Installations,1,AL4 9QB,St. Albans,AL4,01727 850749,
67,125 Crabtree Lane,0,1,alan@harpendenelectrical.com,Harpenden Electrical LTD,0,AL5 5RQ,Harpenden,AL5,07944491319,
68,"2 Marlborough Park, Southdown Road",0,1,sales@kitchensltd.co.uk,Kitchens Ltd,0,AL5 1NL,Harpenden,AL5,01582 763 933,
69,6 Knowle Drive,1,1,scottanderson83@hotmail.co.uk,Scott Anderson T/A Harpenden Sparks,1,AL5 1RW,Harpenden,AL5,07860279257,
70,"Unit 17C Centre House,Marlborough Park",1,1,Ollie@ojpoole.co.uk,OJ Poole Electrical Services Ltd,1,AL5 1DZ,Harpenden,AL5,07813389505,
71,64 Overstone Road,1,1,philcourtman64@yahoo.co.uk,P J C Electrical Services South East Ltd,1,AL5 5PJ,Harpenden,AL5,07941545609,
72,"Old Batford Mill, Lower Luton Rd",1,1,service@andrewselectrics.co.uk,Andrews Electrical Contractors Ltd,1,AL5 5BZ,Harpenden,AL5,07899962068,
73,"Unit B, Batford Industrial Estate",1,1,avpeltd@gmail.com,AVP Electrical Ltd,1,AL5 5BZ,Harpenden,AL5,07768743548,
74,103 Station Road,1,1,accounts@deekselectrical.co.uk,Deeks Electrical Contractors Ltd,1,AL5 4UJ,Harpenden,AL5,01582 715072,www.deekselectrical.co.uk
75,20 Burnsall Place,1,1,philtracey@live.com,PJT Electrical,1,AL5 1RS,Harpenden,AL5,07590292335,
76,"6 Kinloch Court,Station Road",1,1,info@electricaltradesmen.com,Electrical Tradesmen Limited,1,AL5 4UE,Harpenden,AL5,07941744479,
77,"1 Waterside,Station Road",0,0,ben@drakesrenewables.com,Drakes Renewables,0,AL5 4US,Harpenden,AL5,07834 319026,
78,"27 Millstone Way, Harpenden",0,1,tristian.francis@hotmail.com,T Francis Electrical,0,AL5 5FE,Hertfordshire,AL5,07818884574,
79,2 Overtrees Hollybush Lane,1,1,info@kiwielectrical.com,Kiwi Electrical Solutions Ltd,1,AL5 4AW,Harpenden,AL5,01582210225,
80,24 Moreton End Lane,0,1,johnbarrett@gmx.com,J Barrett Electrical Services,0,AL5 2HD,Harpenden,AL5,07731808650,
81,"7 Lower Green,Tewin",1,1,info@adenassociates.co.uk,Aden Associates Ltd,1,AL6 0JX,Welwyn,AL6,01438716613,www.adenassociates.co.uk
82,13 Norman Road,0,1,mikebruce23@gmail.com,M R Bruce,0,AL6 9JW,Welwyn,AL6,07799208749,
83,10 Dicket Mead,1,1,info@powercheckuk.com,Power Check UK Ltd,1,AL6 9NX,Welwyn,AL6,07989347304,www.powercheckuk.com
84,7 The Chase,1,1,steve.pugh@live.co.uk,ACJ Electrical Ltd,1,AL6 0QT,Welwyn,AL6,07973887912,
85,39 School Lane,1,1,mike.gutteridge3735@hotmail.com,MG Electrical & Security,1,AL6 9PQ,Welwyn,AL6,01438715087,
86,"Unit 10 , Tewin Court",1,1,cat@cbmelectrical.com,CBM Electrical Contractors Ltd,1,AL7 1AU,Welwyn Garden City,AL7,07886495774,
87,"Unit 11 Garden Court Business Centre,Tewin Road",1,1,bob@easyplanbs.co.uk,Easy Plan Building Solutions Ltd,1,AL7 1BH,Welwyn Garden City,AL7,07841719400,
88,26-28 Hyde Way,1,1,,Mears Ltd,1,AL7 3UQ,Welwyn Garden City,AL7,01843 282170,
89,"Unit 2 Sutherland Court,Sutherland Court, Brownfields",1,1,smarthome@anarkelectrical.co.uk,Anark Electrical,1,AL7 1BJ,Welwyn Garden City,AL7,01707351831,
90,"Unit 8 Bridgegate Centre,Martinfield",1,1,calvinw@jaylec.co.uk,Jaylec Electrical Contractors Ltd,1,AL7 1JG,Welwyn Garden City,AL7,01707390933,www.jaylec.co.uk
91,"Unit 8 Bridgegate Centre,Martinfield, Welwyn Garden City",1,1,Sales@jarrards.co.uk,Jarrards Ltd,1,AL7 1JG,Hertfordshire,AL7,01707323239,
92,60 Bridge Road East,1,1,lee@dineselectrical.co.uk,Dines Electrical Contractors Limited,1,AL7 1JU,Welwyn Garden City,AL7,01707895853,
93,15 - 20 Woodfield Road,1,1,info@willshvacservices.co.uk,Wills HVAC Services Ltd,1,AL7 1JQ,Welwyn Garden City,AL7,07970955379,
94,1 Woodfield Road,1,1,Sam.sheppard@dcukfm.com,Ductclean (UK) Ltd,1,AL7 1JQ,Welwyn Garden City,AL7,08701129196,www.ductclean.co.uk
95,"Tesco House, Shire Park,Kestral Way",1,1,Rob.mann@tesco.com,Tesco Maintenance Ltd,1,AL7 1GA,Welwyn Garden City,AL7,07714492245,
96,15-20 Woodfield Road,1,0,paul.obrien@chapmanventilation.co.uk,Chapman Ventilation Ltd,1,AL7 1JQ,Welwyn Garden City,AL7,07738770357,
97,"Unit 3, Mallow Park,Watchmead",1,1,johnreynolds@marcoe.co.uk,Marcoe Electrical Ltd,1,AL7 1GX,Welwyn Garden City,AL7,01707320572,
98,"Unit 6, Mallow Park,Watchmead, Welwyn Garden City",1,1,adam@aac.uk.net,AAC Service and Maintenance Ltd,0,AL7 1GX,,AL7,01707325566,
99,34 Lodgefield,1,1,pro9electrics@gmail.com,Paul O'Rourke Electrician,1,AL7 1SD,Welwyn Garden City,AL7,07980 655569,
100,"40 Maple Grove,Welwyn Garden City",0,1,greylor37@hotmail.com,James Taylor,0,AL7 1NL,Herts,AL7,07951575976,
101,11 Creswick Court,0,1,bixonpz@gmail.com,Bixon General Building Services,0,AL7 3SX,Welwyn Garden City,AL7,07852904804,
102,"Weltech Centre, Ridgeway",1,1,nicci@phlimited.co.uk,Plowright Hinton Ltd,1,AL7 2AA,Welwyn Garden City,AL7,01707 336969,
103,137 Ludwick Way,1,1,david@dgreen-sparks.co.uk,D Green Sparks,1,AL7 3PN,Welwyn Garden City,AL7,07749558042,
104,59 Rowans,1,1,paulg@stormelectrics.co.uk,Storm Electrics,1,AL7 1NZ,Welwyn Garden City,AL7,07943 118238,
105,18 Gooseacre,0,1,atkpropertymaintenance@hotmail.co.uk,A T K Property Maintenance,0,AL7 4NB,Welwyn Garden City,AL7,01707 391293,
106,22 Hazel Grove,1,1,scott@djjsolutions.co.uk,DJJ Solutions Ltd,1,AL7 2DG,WELWYN GARDEN CITY,AL7,07811390698,
107,9 Grove Meadows,1,1,liam@elecion.net,Elecion Limited,1,AL7 2BE,Welwyn Garden City,AL7,01707328778,
108,24 Fouracres,0,1,baksaltd@gmail.com,Baksa Ltd,0,AL7 4NW,Welwyn Garden City,AL7,07919 256544,
109,55 Archers Ride,1,1,kennoyelectrical@gmail.com,Kennoy Electrical,1,AL7 4PR,Welwyn Garden City,AL7,07545245028,
110,103 Merrifield Court,1,1,sjdealltd@gmail.com,S J Deal Ltd,1,AL7 4SH,WELWYN GARDEN CITY,AL7,07974818070,
111,1 Harebell,1,1,firstcallelectrical-@hotmail.com,First Call Electrical Ltd,1,AL7 4HR,Welwyn Garden City,AL7,07725901947,
112,28 Waterbeach,1,1,wgc.electrics@googlemail.com,W G C Electrics,1,AL7 2PT,Welwyn Garden City,AL7,01707 323831,
113,33 Stirling Way,0,1,mrpelectrical@hotmail.com,MRP Electrical Contractors Ltd,0,AL7 2QA,Welwyn Garden City,AL7,07976798315,
114,43 Longcroft Lane,1,1,ben@inspace.co.uk,Inspace Mechanical & Electrical Ltd,1,AL8 6EB,Welwyn Garden City,AL8,07943509009,
115,73 Guessens Road,0,1,daniel@elliselectricalsolutions.com,Daniel Ellis Electrical Services Ltd,0,AL8 6RE,Welwyn Garden City,AL8,07963778485,elliselectricalsolutions.com
116,"15 Little Dell,Welwyn Garden City",1,1,timtincey@hotmail.com,A1 ENGLISH ELECTRICAL LIMITED,1,AL8 7HZ,HERTS,AL8,07946322294,
117,85 The Vineyard Yard,1,1,lovelectricalservices@outlook.com,Lovelectrical Services Ltd,1,AL8 7PX,WELWYN GARDEN CITY,AL8,07498767380,
118,11 Brooms Close,1,1,jonathanwarne@sky.com,J Warne & Sons,1,AL8 7JA,Welwyn Garden City,AL8,01707 322472,
119,27 Marsden Green,1,1,paul@orchardelectrical.org,Orchard Electrical,1,AL8 6YD,WELWYN GARDEN CITY,AL8,01707333624,
120,4 New Road,1,1,kselectricalltd@btinternet.com,K S Electrical Ltd,1,AL8 7TX,Welwyn Garden City,AL8,01707 336771,
121,26 Great North Road,0,1,tinworthc@aol.com,Christopher Tinworth,0,AL8 7TH,Welwyn Garden City,AL8,01707251302,
122,"Great North Business Centre,82 Great North Road, Hatfield",1,1,adam@nightandday247.co.uk,Night and Day Building Maintenance Ltd,1,AL9 5BL,Hertfordshire,AL9,01920 481100,
123,"Suite D,19-25 Salisbury Square",1,1,j.hackett@datalecltd.co.uk,Datalec Power Installations Ltd,1,AL9 5BT,Hatfield,AL9,01707552171,
124,19 The Holdings,1,1,davidsargent1@hotmail.co.uk,Sargents Electrics,1,AL9 5HH,Hatfield,AL9,07855273737,
125,"Unit 8, Alpha Business Park,Travellers Close, Welham Green, North My",1,1,info@igpa.co.uk,I G P A Services Ltd,0,AL9 7NT,Hatfield,AL9,01707268300,
126,"Travellers Close,Welham Green, North Mymms",1,1,antony@designselc.com,Design Selectric Ltd,1,AL9 7NT,Hatfield,AL9,01707251100,
127,"6 Alpha Business Park,Travellers Close",1,1,marco@ecoheatsolutionsltd.co.uk,Eco Heat Solutions Ltd,1,AL9 7NT,Welham Green,AL9,07903511191,
128,14 Puttocks Close,1,1,mitchelelectricalservices@gmail.com,Mitchel Arnold Electrical Services,1,AL9 7LN,"North Mymms, Hatfield",AL9,07792275328,
129,"44 Holloways Lane,Welham Green, North Mymms",0,1,sshawelectrical@outlook.com,S Shaw Electrical,0,AL9 7NS,Hatfield,AL9,07826545250,
130,"41 Welham Manor,North Mymms",1,1,newburymark@sky.com,M.A.N Power Electrical Solutions,1,AL9 7EL,Hatfield,AL9,01707551108,
131,"13th Floor, Quayside,252-260 Broad Street",1,0,jai.smart@alstomgroup.com,ALSTOM Transport UK Ltd,1,B1 2HF,Birmingham,B1,0121 6075058,
132,"Unit 1,9 Kenyon Steet",1,1,vjchopra@icloud.com,ETME Group Ltd,1,B18 6AR,Birmingham,B1,01216791242,
133,"Granville House,181-187 Moseley Street",1,1,d.eaton@flsltd.com,Fluorescent Lighting Services Ltd,1,B12 0RT,Birmingham,B1,0121 683 1515,
134,"Suite 614F The big Peg,Vyse Street, Hockley",1,1,Jamie@jhelectrical.info,T & D Design & Build Ltd,1,B18 6NF,BIRMINGHAM,B1,01215540147,
135,"49 Canterbury Tower,St. Marks Street",0,1,info.independentpowersevices@gmail.com,I P S LTD,0,B1 2UJ,Birmingham,B1,07846765333,
136,"65 Avoca Court,140 Cheapside",1,1,kieran@ecotechme.co.uk,Ecotech Mechanical & Electrical Solution Solutions,1,B12 0PR,Birmingham,B1,07866557826,www.ecotechgroup.uk
137,"Unit 1, Challenge Park,161-163 Hospital Street",1,0,roy.sharratt@directcontrols.co.uk,Direct Control Systems Ltd,0,B19 3XA,Birmingham,B1,0121 248 3300,
138,66 Hagley Road,1,1,louise.heath@rightio.co.uk,Rightio Limited,1,B16 8PF,Birmingham,B1,01214107000,www.rightio.co.uk
139,"Summer House,74-75 Summer Lane",1,1,tony.mes88@gmail.com,MES Moseley Electrical Services,1,B19 3NG,Birmingham,B1,0121 359 7888,
140,76 Summer Lane,1,1,caroline.lowe@ceslimited.uk.com,Countrywide Electrical Services Ltd,1,B19 3NG,Birmingham,B1,0121 248 1400,www.countrywideelectricalsvs.com
141,276 Monument Road,1,1,info@hylandelectrical.co.uk,J P Hyland Electrical Ltd,1,B16 8XF,Birmingham,B1,01214 542010,www.hylandelectrical.com
142,259 Hospital Street,1,1,enquiry@dhgittins.com,D H Gittins Ltd,1,B19 2YF,Birmingham,B1,07919285837,www.dhgittins.com
143,"219 Bridge Street West,Newtown",1,0,rod.johnson@wingate.co.uk,Wingate Electrical Plc,1,B19 2YU,Birmingham,B1,01213800740,
144,"Unit 2 Oughton Road,Highgate",1,1,moss@rmfconstruction.co.uk,RMF Construction Services Ltd,1,B12 0DF,Birmingham,B1,01214407970,
145,"Unit 7,129 Western Road",1,1,gerard@enterpriseelectrical.co.uk,Enterprise Electrical Services Ltd,1,B18 7QD,"Hockley, Birmingham",B1,0121 507 0602,
146,107-108 Icknield Port Road,1,1,david.kibble@enderbey.co.uk,Enderbey Ltd,1,B16 0AA,"Ladywood, Birmingham",B1,0121 454 6090,
147,"Unit 14, All Saints Industrial Estate,All Saints Street",1,1,warren@mpasselectrical.co.uk,M-Pass Electrical & Heating Ltd,1,B18 7RJ,Birmingham,B1,01215238010,
148,46 Marroway Street,0,1,gussysperin@yahoo.co.uk,G S Electrical,0,B16 0AR,Birmingham,B1,07817 360 156,
149,"5 The Laurels,Marroway Street",0,1,d2delectricalservices@gmail.com,Dusk 2 Dawn Electrical Services,0,B16 0AR,Birmingham,B1,07914536608,
150,"3 George Street,Balsall Heath",1,1,david@dgrovesltd.com,D Groves Ltd,1,B12 9RG,Birmingham,B1,0121 446 6776,
151,"715 Crocodile Works, Alma Street",0,1,shariffeldeen@gmail.com,Smart Switch Electrical Ltd,0,B19 2AG,Birmingham,B1,07773428319,
152,42 Hickman Road,1,1,mzakir42@yahoo.com,ZB Electrical Services Ltd,1,B11 1NE,Birmingham,B1,07425548786,
153,145-150 Brighton Road,1,1,,B N K Construction,1,B12 8QN,Birmingham,B1,01214 491244,
154,66 Grantham Road,1,1,aesmidlands@yahoo.com,Amber Electrical Services,1,B11 1LY,Sparkbrook,B11,07966149864,
155,42 Hickman Road,1,1,mzakir42@yahoo.com,ZB Electrical Services Ltd,1,B11 1NE,Birmingham,B11,07425548786,
156,127 Medlicott Road,1,1,786sparky@gmail.com,Deen Electrical Contractors,1,B11 1UG,Birmingham,B11,07866 883396,
157,150 Durham Road,1,1,Goodguy1984@hotmail.co.uk,Safe Property Services,1,B11 4LJ,Birmingham,B11,07542155946,
158,"14D Old Grange Road,Sparkhill",1,1,zebapm@yahoo.co.uk,APEC Engineers Ltd,1,B11 4LL,Birmingham,B11,07970 889994,
159,"94 Park Road,Sparkhill",1,1,narinder94@gmail.com,Solar RGB Ltd,1,B11 4HB,Birmingham,B11,01217 771125,
160,194 Percy Road,1,1,mtn@electricalfolks.co.uk,The Electrical Folks Ltd,1,B11 3LG,Birmingham,B11,0782 8215455,
161,"126 Formans Road,Sparkhill",1,1,admin@rmdelectrical.net,R M D Electrical Ltd,1,B11 3BD,Birmingham,B11,01217022492,rmdelectrical.net
162,89 Leominster Road,1,1,uk_yasser@yahoo.com,Elite Electrical,1,B11 3BH,Birmingham,B11,07849488219,
163,"Unit 43,Bizspace Business Park, Tyseley",1,1,hammelecuk@yahoo.co.uk,Hammelec Midlands Limited,1,B11 2AL,Birmingham,B11,0121 706 6996,
164,"Unit 45A, Bizspace Business Park,Kings Road, Tyseley",1,1,info@asteriskmaintenance.com,Asterisk Maintenance,1,B11 2AL,Birmingham,B11,01216086098,
165,205 kings Road,1,1,robertwhyte@outlook.com,Calvic Electrical Solutions Ltd,1,B11 2AA,Birmingham,B11,0121 784 2527,
166,205 Kings Road,0,0,co2savers@gmail.com,CO2 Savers,0,B11 2AA,Birmingham,B11,07411319297,
167,"272 Kings Road,Tyseley",0,1,Pindo@metromidland.com,Metro Midland Building Services,0,B11 2AB,Birmingham,B11,01217061616,
168,"272 Kings Rd,Tyseley",1,1,steve@yeselectrical.co.uk,Yardley Electrical Services Ltd,1,B11 2AB,Birmingham,B11,07830220116,
169,"272 Kings Road,Tyseley",0,1,info@panesarbuilderslimited.co.uk,Panesar Builders UK Ltd,0,B11 2AB,Birmingham,B11,07971814130,
170,30 Redfern Road,1,1,granth@powercapacitors.co.uk,Power Capacitors Ltd,0,B11 2BH,Birmingham,B11,0121 708 2811,
171,"Neo Park,Wharfdale Road",1,1,steve.smith@alsuk.com,Air Link Systems Ltd,1,B11 2DF,Birmingham,B11,01216 930511,
172,"65 Avoca Court,140 Cheapside",1,1,kieran@ecotechme.co.uk,Ecotech Mechanical & Electrical Solution Solutions,1,B12 0PR,Birmingham,B12,07866557826,www.ecotechgroup.uk
173,"Granville House,181-187 Moseley Street",1,1,d.eaton@flsltd.com,Fluorescent Lighting Services Ltd,1,B12 0RT,Birmingham,B12,0121 683 1515,
174,"Unit 2 Oughton Road,Highgate",1,1,moss@rmfconstruction.co.uk,RMF Construction Services Ltd,1,B12 0DF,Birmingham,B12,01214407970,
175,"3 George Street,Balsall Heath",1,1,david@dgrovesltd.com,D Groves Ltd,1,B12 9RG,Birmingham,B12,0121 446 6776,
176,145-150 Brighton Road,1,1,,B N K Construction,1,B12 8QN,Birmingham,B12,01214 491244,
177,123 Brighton Road,1,1,mahmoodhussain13@googlemail.com,J&M UK Electrical Services Ltd,1,B12 8QJ,Birmingham,B12,07518498193,
178,"14 Tudor Close, Taylor Road",1,1,neilfair@blueyonder.co.uk,N A Fair Electrical Services Ltd,1,B13 0PD,Birmingham,B13,07976 829214,
179,294a Haunch Lane,1,1,fodenelecon@aol.com,Foden Electrical Contracting,1,B13 0QS,Birmingham,B13,0121 444 1100,www.fodenelectrical.co.uk
180,88 Westridge Road,1,1,smkelectrical@hotmail.co.uk,SMK Electrical,1,B13 0EE,"Moseley, Birmingham",B13,07837782819,
181,402 Wake Green Road,1,1,cunningb2502@msn.com,Barry B Electrical Contractors,1,B13 0BL,Birmingham,B13,07786 607790,
182,55 Silverton Crescent,1,1,hassan@haych.co.uk,Electrical Services,1,B13 9NH,Birmingham,B13,01217 774895,
183,7 Coppice Road,1,1,qasim@qkhan.co.uk,Q Khan Electrical Contractors,1,B13 9DP,Birmingham,B13,01214498838,www.qkhan.co.uk
